VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice,Occupation,Address,InjurySeverity,RelationshipToAccused,VictimProfileID,IsRepeatVictim
1,3186,Bhavani Rau,18,F,0,Unemployed,"H.No. 333
Sen Circle, Bidar, Karnataka",Minor,Stranger,,False
2,493,Siddharth Goswami,55,M,0,Unemployed,"31
Chaudhari Chowk, Haveri, Karnataka",Moderate,Known,,False
3,2123,Abhimanyu Chander,3,M,0,Student,"677, Rattan Ganj, Belagavi, Karnataka",Fatal,Stranger,,False
4,697,Gayathri Raghavan,88,F,0,Retired,"47, Sampath Road, Gadag, Karnataka",None,Known,,False
5,3020,Garima Gupta,55,F,1,Homemaker,"098
Murthy Nagar, Kalaburagi, Karnataka",Minor,Stranger,,False
6,1323,Arya Sood,23,F,0,Farmer,"H.No. 812, Bir Zila, Chikballapur, Karnataka",Minor,Known,,False
7,1323,Saksham Dar,30,M,1,Homemaker,"90/91, Virk Marg, Chikballapur, Karnataka",Moderate,Known,,False
8,1795,Leena Jayaraman,53,F,0,Auto Driver,"462
Shankar Road, Chamarajanagar, Karnataka",None,Known,,False
9,3633,Bina Andra,51,F,0,Daily Wage Labourer,"91/18
Toor Ganj, Kolar, Karnataka",Severe,Known,,False
10,3633,Ekaja Palla,36,F,0,Student,"542, Mittal Chowk, Kolar, Karnataka",Moderate,Known,,False
11,2324,Netra Chawla,35,F,0,Government Employee,"H.No. 11, Dugal Circle, Chitradurga, Karnataka",Severe,Stranger,,False
12,2324,Lohit Kade,57,M,0,Domestic Worker,"487
Behl Road, Chitradurga, Karnataka",Moderate,Stranger,,False
13,2324,Siddharth Malhotra,9,M,0,Student,"H.No. 524, Sathe Street, Chitradurga, Karnataka",Minor,Stranger,,False
14,1316,Aayush Choudhury,19,M,0,Business Owner,"28/059, Divan Circle, Hassan, Karnataka",Severe,Stranger,,False
15,4106,Devansh Barman,52,M,0,Shopkeeper,"H.No. 05
Krish Ganj, Bidar, Karnataka",Severe,Stranger,,False
16,4454,Peter Ray,49,M,0,Shopkeeper,"226, Gola Nagar, Chikkamagaluru, Karnataka",None,Stranger,,False
17,4454,Samesh Kothari,38,M,0,Homemaker,"160
Kapadia Chowk, Chikkamagaluru, Karnataka",None,Stranger,,False
18,3989,Veda Palla,41,F,0,Self-Employed,"303
Narasimhan Marg, Chitradurga, Karnataka",Moderate,Stranger,,False
19,115,Bakhshi Mallick,60,M,0,Homemaker,"86/850
Lal Zila, Gadag, Karnataka",Minor,Stranger,,False
20,3562,Kevin Barad,86,M,0,Retired,"65/56, Vaidya, Yadgir, Karnataka",None,Stranger,,False
21,2660,Sanya Gupta,60,F,0,Farmer,"H.No. 608
Hegde Circle, Koppal, Karnataka",Severe,Stranger,,False
22,2660,Upasna Boase,58,F,0,Student,"51/48
Rege Road, Koppal, Karnataka",Severe,Stranger,,False
23,4012,Tamanna Merchant,26,F,0,Retired,"662, Mitra, Mysuru, Karnataka",Minor,Stranger,,False
24,295,Aachal Modi,12,F,0,Student,"699
Shroff Path, Dakshina Kannada, Karnataka",Minor,Stranger,,False
25,3513,Timothy Kala,79,M,0,Retired,"21/489
Chander Path, Chitradurga, Karnataka",Moderate,Known,,False
