AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID,Occupation,Address,CriminalProfileID,GangID,IsRepeatOffender
1,2486,Ranveer Sood,42,M,A1,Delivery Agent,"H.No. 46, Yohannan Marg, Bengaluru Urban, Karnataka",,,False
2,3521,Yagnesh Kanda,23,M,A1,Private Employee,"70
Nayar Marg, Ballari, Karnataka",,,False
3,3521,Gayathri Sibal,37,F,A2,Vendor,"80/69, Bala, Ballari, Karnataka",,,False
4,493,Tanish Deshmukh,39,M,A1,Private Employee,"046
Kakar Path, Haveri, Karnataka",,,False
5,2977,Nihal Nazareth,59,M,A1,Security Guard,"H.No. 64
Singhal Zila, Vijayapura, Karnataka",,,False
6,2977,Atharv Palla,19,M,A2,Contractor,"10/033, Dua Nagar, Vijayapura, Karnataka",,,False
7,4451,Dev Solanki,36,M,A1,Farmer,"37/45, Contractor Street, Dakshina Kannada, Karnataka",,,False
8,4451,Nachiket Chokshi,52,M,A2,Daily Wage Labourer,"H.No. 96, Issac Marg, Dakshina Kannada, Karnataka",,,False
9,4451,Jairaj Chaudry,67,M,A3,Private Employee,"91/905
Sangha Circle, Dakshina Kannada, Karnataka",,,False
10,4451,Bakhshi Toor,27,M,A4,Shopkeeper,"H.No. 671
Pathak Marg, Dakshina Kannada, Karnataka",,,False
11,2123,Faraj Saran,20,M,A1,Security Guard,"84/987, Sarin Chowk, Kalaburagi, Karnataka",,,False
12,2123,Neel Korpal,64,M,A2,Student,"H.No. 73, Raghavan Chowk, Kalaburagi, Karnataka",,,False
13,697,Akshay Talwar,32,M,A1,Student,"735
Oak Road, Gadag, Karnataka",,,False
14,3020,Lakshit Anne,54,M,A1,Unskilled Worker,"H.No. 367, Khosla Circle, Kalaburagi, Karnataka",,,False
15,3020,Yatan Sem,36,M,A2,Vendor,"H.No. 436, Mohan Ganj, Kalaburagi, Karnataka",,,False
16,651,Teerth Dugar,15,M,A1,Student,"88
Sandal Path, Raichur, Karnataka",CP00038,,True
17,4893,Patrick Setty,51,M,A1,Farmer,"H.No. 43
Hans Zila, Uttara Kannada, Karnataka",,,False
18,4893,Darpan Wason,66,M,A2,Shopkeeper,"374, Vohra, Uttara Kannada, Karnataka",,,False
